,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Cost Matrix(Risk)
229,<0 DM,24,existing credits paid back duly till now,furniture/equipment,3149,<100 DM,<1 years,4,male:single,none,1,unknown / no property,22,bank,for free,1,skilled employee / official,1,none,yes,Good Risk
230,>= 200 DM ,36,existing credits paid back duly till now,radio/television,4210,<100 DM,1<= < 4 years,4,male:single,none,2,car or other,26,none,own,1,skilled employee / official,1,none,yes,Bad Risk
231,no checking account,9,existing credits paid back duly till now,car (new),2507,500 <= < 1000 DM,>=7 years,2,male:single,none,4,unknown / no property,51,none,for free,1,unskilled - resident,1,none,yes,Good Risk
232,no checking account,12,existing credits paid back duly till now,radio/television,2141,100 <= <500 DM,4<= <7 years,3,male:single,none,1,unknown / no property,35,none,own,1,skilled employee / official,1,none,yes,Good Risk
233,0 <= <200 DM,18,existing credits paid back duly till now,radio/television,866,<100 DM,1<= < 4 years,4,male:married/widowed,guarantor,2,real estate,25,none,own,1,unskilled - resident,1,none,yes,Good Risk
234,no checking account,4,critical account,radio/television,1544,<100 DM,4<= <7 years,2,male:single,none,1,real estate,42,none,own,3,unskilled - resident,2,none,yes,Good Risk
235,<0 DM,24,existing credits paid back duly till now,radio/television,1823,<100 DM,unemployed,4,male:single,none,2,car or other,30,store,own,1,management/ highly qualified employee,2,none,yes,Bad Risk
236,0 <= <200 DM,6,existing credits paid back duly till now,car (new),14555,no savings account,unemployed,1,male:single,none,2,savings agreement/life insurance,23,none,own,1,unemployed/ unskilled  - non-resident,1,yes,yes,Bad Risk
237,0 <= <200 DM,21,existing credits paid back duly till now,business,2767,100 <= <500 DM,>=7 years,4,male:divorced/separated,none,2,car or other,61,bank,rent,2,unskilled - resident,1,none,yes,Bad Risk
238,no checking account,12,critical account,radio/television,1291,<100 DM,1<= < 4 years,4,female:divorced/separated/married,none,2,savings agreement/life insurance,35,none,own,2,skilled employee / official,1,none,yes,Good Risk
239,<0 DM,30,existing credits paid back duly till now,radio/television,2522,<100 DM,>=7 years,1,male:single,guarantor,3,savings agreement/life insurance,39,none,own,1,skilled employee / official,2,none,yes,Good Risk
240,<0 DM,24,existing credits paid back duly till now,car (new),915,no savings account,>=7 years,4,female:divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee / official,1,none,yes,Bad Risk
241,no checking account,6,existing credits paid back duly till now,radio/television,1595,<100 DM,4<= <7 years,3,male:single,none,2,savings agreement/life insurance,51,none,own,1,skilled employee / official,2,none,yes,Good Risk
242,<0 DM,48,no credits taken,car (used),4605,<100 DM,>=7 years,3,male:single,none,4,unknown / no property,24,none,for free,2,skilled employee / official,2,none,yes,Bad Risk
243,no checking account,12,critical account,business,1185,<100 DM,1<= < 4 years,3,female:divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes,Good Risk
244,no checking account,12,all credits at this bank paid back duly,retraining,3447,500 <= < 1000 DM,1<= < 4 years,4,female:divorced/separated/married,none,3,real estate,35,none,own,1,unskilled - resident,2,none,yes,Good Risk
245,no checking account,24,existing credits paid back duly till now,business,1258,<100 DM,4<= <7 years,4,male:single,none,1,real estate,25,none,own,1,skilled employee / official,1,yes,yes,Good Risk
246,no checking account,12,critical account,radio/television,717,<100 DM,>=7 years,4,male:single,none,4,real estate,52,none,own,3,skilled employee / official,1,none,yes,Good Risk
247,no checking account,6,no credits taken,car (new),1204,100 <= <500 DM,1<= < 4 years,4,male:single,none,1,unknown / no property,35,bank,rent,1,skilled employee / official,1,none,no,Good Risk
248,>= 200 DM ,24,existing credits paid back duly till now,furniture/equipment,1925,<100 DM,1<= < 4 years,2,male:single,none,2,real estate,26,none,own,1,skilled employee / official,1,none,yes,Good Risk
249,no checking account,18,existing credits paid back duly till now,radio/television,433,<100 DM,unemployed,3,female:divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
250,<0 DM,6,critical account,car (new),666,>= 1000 DM,4<= <7 years,3,female:divorced/separated/married,none,4,real estate,39,none,own,2,unskilled - resident,1,yes,yes,Good Risk
251,>= 200 DM ,12,existing credits paid back duly till now,furniture/equipment,2251,<100 DM,1<= < 4 years,1,female:divorced/separated/married,none,2,car or other,46,none,own,1,unskilled - resident,1,none,yes,Good Risk
252,0 <= <200 DM,30,existing credits paid back duly till now,car (new),2150,<100 DM,1<= < 4 years,4,female:divorced/separated/married,guarantor,2,unknown / no property,24,bank,own,1,skilled employee / official,1,none,yes,Bad Risk
253,no checking account,24,delay in paying off,furniture/equipment,4151,100 <= <500 DM,1<= < 4 years,2,male:single,none,3,savings agreement/life insurance,35,none,own,2,skilled employee / official,1,none,yes,Good Risk
254,0 <= <200 DM,9,existing credits paid back duly till now,furniture/equipment,2030,no savings account,4<= <7 years,2,male:single,none,1,car or other,24,none,own,1,skilled employee / official,1,yes,yes,Good Risk
255,0 <= <200 DM,60,delay in paying off,radio/television,7418,no savings account,1<= < 4 years,1,male:single,none,1,real estate,27,none,own,1,unskilled - resident,1,none,yes,Good Risk
256,no checking account,24,critical account,radio/television,2684,<100 DM,1<= < 4 years,4,male:single,none,2,real estate,35,none,own,2,unskilled - resident,1,none,yes,Good Risk
257,<0 DM,12,all credits at this bank paid back duly,radio/television,2149,<100 DM,1<= < 4 years,4,male:divorced/separated,none,1,unknown / no property,29,none,for free,1,skilled employee / official,1,none,yes,Bad Risk
258,no checking account,15,existing credits paid back duly till now,car (used),3812,100 <= <500 DM,<1 years,1,female:divorced/separated/married,none,4,car or other,23,none,own,1,skilled employee / official,1,yes,yes,Good Risk
259,no checking account,11,critical account,radio/television,1154,100 <= <500 DM,unemployed,4,female:divorced/separated/married,none,4,real estate,57,none,own,3,unskilled - resident,1,none,yes,Good Risk
260,<0 DM,12,existing credits paid back duly till now,furniture/equipment,1657,<100 DM,1<= < 4 years,2,male:single,none,2,real estate,27,none,own,1,skilled employee / official,1,none,yes,Good Risk
261,<0 DM,24,existing credits paid back duly till now,radio/television,1603,<100 DM,>=7 years,4,female:divorced/separated/married,none,4,car or other,55,none,own,1,skilled employee / official,1,none,yes,Good Risk
262,<0 DM,18,critical account,car (new),5302,<100 DM,>=7 years,2,male:single,none,4,unknown / no property,36,none,for free,3,management/ highly qualified employee,1,yes,yes,Good Risk
263,no checking account,12,critical account,education,2748,<100 DM,>=7 years,2,female:divorced/separated/married,none,4,unknown / no property,57,bank,for free,3,unskilled - resident,1,none,yes,Good Risk
264,no checking account,10,critical account,car (new),1231,<100 DM,>=7 years,3,male:single,none,4,real estate,32,none,own,2,unskilled - resident,2,none,no,Good Risk
265,0 <= <200 DM,15,existing credits paid back duly till now,radio/television,802,<100 DM,>=7 years,4,male:single,none,3,car or other,37,none,own,1,skilled employee / official,2,none,yes,Bad Risk
266,no checking account,36,critical account,business,6304,no savings account,>=7 years,4,male:single,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes,Good Risk
267,no checking account,24,existing credits paid back duly till now,radio/television,1533,<100 DM,<1 years,4,female:divorced/separated/married,none,3,car or other,38,store,own,1,skilled employee / official,1,yes,yes,Good Risk
268,<0 DM,14,existing credits paid back duly till now,car (new),8978,<100 DM,>=7 years,1,male:divorced/separated,none,4,savings agreement/life insurance,45,none,own,1,management/ highly qualified employee,1,yes,no,Bad Risk
269,no checking account,24,existing credits paid back duly till now,radio/television,999,no savings account,>=7 years,4,male:single,none,2,car or other,25,none,own,2,skilled employee / official,1,none,yes,Good Risk
270,no checking account,18,existing credits paid back duly till now,car (new),2662,no savings account,4<= <7 years,4,male:single,none,3,savings agreement/life insurance,32,none,own,1,skilled employee / official,1,none,no,Good Risk
271,no checking account,12,critical account,furniture/equipment,1402,500 <= < 1000 DM,4<= <7 years,3,female:divorced/separated/married,none,4,car or other,37,none,rent,1,skilled employee / official,1,yes,yes,Good Risk
272,0 <= <200 DM,48,all credits at this bank paid back duly,car (new),12169,no savings account,unemployed,4,male:single,co-applicant,4,unknown / no property,36,none,for free,1,management/ highly qualified employee,1,yes,yes,Good Risk
273,0 <= <200 DM,48,existing credits paid back duly till now,radio/television,3060,<100 DM,4<= <7 years,4,male:single,none,4,real estate,28,none,own,2,skilled employee / official,1,none,yes,Bad Risk
274,<0 DM,30,existing credits paid back duly till now,repairs,11998,<100 DM,<1 years,1,male:divorced/separated,none,1,unknown / no property,34,none,own,1,unskilled - resident,1,yes,yes,Bad Risk
275,no checking account,9,existing credits paid back duly till now,radio/television,2697,<100 DM,1<= < 4 years,1,male:single,none,2,real estate,32,none,own,1,skilled employee / official,2,none,yes,Good Risk
276,no checking account,18,critical account,radio/television,2404,<100 DM,1<= < 4 years,2,female:divorced/separated/married,none,2,car or other,26,none,own,2,skilled employee / official,1,none,yes,Good Risk
277,<0 DM,12,existing credits paid back duly till now,furniture/equipment,1262,no savings account,>=7 years,2,male:divorced/separated,none,4,savings agreement/life insurance,49,none,own,1,unskilled - resident,1,yes,yes,Good Risk
278,no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,<100 DM,<1 years,1,female:divorced/separated/married,none,4,savings agreement/life insurance,32,none,own,1,skilled employee / official,1,none,yes,Bad Risk
279,no checking account,24,existing credits paid back duly till now,radio/television,1901,100 <= <500 DM,1<= < 4 years,4,male:single,none,4,car or other,29,none,rent,1,management/ highly qualified employee,1,yes,yes,Good Risk
280,no checking account,15,critical account,car (used),3368,>= 1000 DM,>=7 years,3,male:single,none,4,unknown / no property,23,none,rent,2,skilled employee / official,1,yes,yes,Good Risk
281,no checking account,12,existing credits paid back duly till now,furniture/equipment,1574,<100 DM,1<= < 4 years,4,male:single,none,2,real estate,50,none,own,1,skilled employee / official,1,none,yes,Good Risk
282,>= 200 DM ,18,all credits at this bank paid back duly,radio/television,1445,no savings account,4<= <7 years,4,male:single,none,4,car or other,49,bank,own,1,unskilled - resident,1,none,yes,Good Risk
283,no checking account,15,critical account,furniture/equipment,1520,no savings account,>=7 years,4,male:single,none,4,savings agreement/life insurance,63,none,own,1,skilled employee / official,1,none,yes,Good Risk
284,0 <= <200 DM,24,critical account,car (new),3878,100 <= <500 DM,<1 years,4,male:divorced/separated,none,2,car or other,37,none,own,1,skilled employee / official,1,yes,yes,Good Risk
285,<0 DM,47,existing credits paid back duly till now,car (new),10722,<100 DM,<1 years,1,female:divorced/separated/married,none,1,real estate,35,none,own,1,unskilled - resident,1,yes,yes,Good Risk
286,<0 DM,48,existing credits paid back duly till now,car (used),4788,<100 DM,4<= <7 years,4,male:single,none,3,savings agreement/life insurance,26,none,own,1,skilled employee / official,2,none,yes,Good Risk
287,0 <= <200 DM,48,delay in paying off,others,7582,100 <= <500 DM,unemployed,2,male:single,none,4,unknown / no property,31,none,for free,1,management/ highly qualified employee,1,yes,yes,Good Risk
288,0 <= <200 DM,12,existing credits paid back duly till now,radio/television,1092,<100 DM,1<= < 4 years,4,female:divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee / official,1,yes,yes,Good Risk
289,<0 DM,24,delay in paying off,radio/television,1024,<100 DM,<1 years,4,male:married/widowed,none,4,real estate,48,store,own,1,skilled employee / official,1,none,yes,Bad Risk
290,no checking account,12,existing credits paid back duly till now,business,1076,<100 DM,1<= < 4 years,2,male:married/widowed,none,2,real estate,26,none,own,1,skilled employee / official,1,yes,no,Good Risk
291,0 <= <200 DM,36,existing credits paid back duly till now,car (used),9398,<100 DM,<1 years,1,male:married/widowed,none,4,car or other,28,none,rent,1,management/ highly qualified employee,1,yes,yes,Bad Risk
292,<0 DM,24,critical account,car (used),6419,<100 DM,>=7 years,2,female:divorced/separated/married,none,4,unknown / no property,44,none,for free,2,management/ highly qualified employee,2,yes,yes,Good Risk
293,>= 200 DM ,42,critical account,car (used),4796,<100 DM,>=7 years,4,male:single,none,4,unknown / no property,56,none,for free,1,skilled employee / official,1,none,yes,Good Risk
294,no checking account,48,critical account,business,7629,no savings account,>=7 years,4,male:divorced/separated,none,2,car or other,46,bank,own,2,management/ highly qualified employee,2,none,yes,Good Risk
295,0 <= <200 DM,48,existing credits paid back duly till now,furniture/equipment,9960,<100 DM,<1 years,1,female:divorced/separated/married,none,2,car or other,26,none,own,1,skilled employee / official,1,yes,yes,Bad Risk
296,no checking account,12,existing credits paid back duly till now,car (used),4675,no savings account,<1 years,1,female:divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee / official,1,none,yes,Good Risk
297,no checking account,10,existing credits paid back duly till now,car (new),1287,no savings account,>=7 years,4,male:single,co-applicant,2,savings agreement/life insurance,45,none,own,1,unskilled - resident,1,none,no,Good Risk
298,no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,<100 DM,1<= < 4 years,3,male:single,none,4,real estate,43,none,own,1,skilled employee / official,1,yes,yes,Good Risk
299,0 <= <200 DM,21,critical account,furniture/equipment,2745,>= 1000 DM,4<= <7 years,3,male:single,none,2,car or other,32,none,own,2,skilled employee / official,1,yes,yes,Good Risk
300,no checking account,6,existing credits paid back duly till now,car (new),672,<100 DM,unemployed,1,female:divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/ unskilled  - non-resident,1,yes,yes,Good Risk
301,0 <= <200 DM,36,no credits taken,radio/television,3804,<100 DM,1<= < 4 years,4,female:divorced/separated/married,none,1,car or other,42,none,own,1,skilled employee / official,1,yes,yes,Bad Risk
302,>= 200 DM ,24,critical account,car (new),1344,no savings account,4<= <7 years,4,male:single,none,2,real estate,37,bank,own,2,unskilled - resident,2,none,yes,Bad Risk
303,<0 DM,10,critical account,car (new),1038,<100 DM,4<= <7 years,4,male:single,co-applicant,3,savings agreement/life insurance,49,none,own,2,skilled employee / official,1,yes,yes,Good Risk
304,no checking account,48,critical account,car (new),10127,500 <= < 1000 DM,1<= < 4 years,2,male:single,none,2,unknown / no property,44,bank,for free,1,skilled employee / official,1,none,yes,Bad Risk
305,no checking account,6,existing credits paid back duly till now,furniture/equipment,1543,>= 1000 DM,1<= < 4 years,4,male:divorced/separated,none,2,real estate,33,none,own,1,skilled employee / official,1,none,yes,Good Risk
306,no checking account,30,existing credits paid back duly till now,car (used),4811,no savings account,4<= <7 years,2,female:divorced/separated/married,none,4,savings agreement/life insurance,24,store,rent,1,unskilled - resident,1,none,yes,Good Risk
307,<0 DM,12,existing credits paid back duly till now,radio/television,727,100 <= <500 DM,<1 years,4,male:married/widowed,none,3,unknown / no property,33,none,own,1,unskilled - resident,1,yes,yes,Bad Risk
308,0 <= <200 DM,8,existing credits paid back duly till now,furniture/equipment,1237,<100 DM,1<= < 4 years,3,female:divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee / official,1,none,yes,Bad Risk
309,0 <= <200 DM,9,existing credits paid back duly till now,car (new),276,<100 DM,1<= < 4 years,4,male:married/widowed,none,4,real estate,22,none,rent,1,unskilled - resident,1,none,yes,Good Risk
310,0 <= <200 DM,48,existing credits paid back duly till now,others,5381,no savings account,unemployed,3,male:single,none,4,unknown / no property,40,bank,for free,1,unemployed/ unskilled  - non-resident,1,yes,yes,Good Risk
311,no checking account,24,existing credits paid back duly till now,furniture/equipment,5511,100 <= <500 DM,1<= < 4 years,4,male:single,none,1,car or other,25,store,own,1,skilled employee / official,1,none,yes,Good Risk
312,>= 200 DM ,24,existing credits paid back duly till now,furniture/equipment,3749,<100 DM,<1 years,2,female:divorced/separated/married,none,4,car or other,26,none,own,1,skilled employee / official,1,none,yes,Good Risk
313,0 <= <200 DM,12,existing credits paid back duly till now,car (new),685,<100 DM,4<= <7 years,2,male:married/widowed,none,3,car or other,25,bank,own,1,unskilled - resident,1,none,yes,Bad Risk
314,>= 200 DM ,4,existing credits paid back duly till now,car (new),1494,no savings account,<1 years,1,male:single,none,2,real estate,29,none,own,1,unskilled - resident,2,none,no,Good Risk
315,<0 DM,36,all credits at this bank paid back duly,furniture/equipment,2746,<100 DM,>=7 years,4,male:single,none,4,car or other,31,bank,own,1,skilled employee / official,1,none,yes,Bad Risk
316,<0 DM,12,existing credits paid back duly till now,furniture/equipment,708,<100 DM,1<= < 4 years,2,male:single,guarantor,3,savings agreement/life insurance,38,none,own,1,unskilled - resident,2,none,yes,Good Risk
317,0 <= <200 DM,24,existing credits paid back duly till now,furniture/equipment,4351,no savings account,1<= < 4 years,1,female:divorced/separated/married,none,4,savings agreement/life insurance,48,none,own,1,unskilled - resident,1,yes,yes,Good Risk
318,no checking account,12,critical account,education,701,<100 DM,1<= < 4 years,4,male:single,none,2,car or other,32,none,own,2,skilled employee / official,1,none,yes,Good Risk
319,<0 DM,15,delay in paying off,furniture/equipment,3643,<100 DM,>=7 years,1,female:divorced/separated/married,none,4,savings agreement/life insurance,27,none,own,2,unskilled - resident,1,none,yes,Good Risk
320,0 <= <200 DM,30,critical account,car (new),4249,<100 DM,unemployed,4,male:married/widowed,none,2,car or other,28,none,own,2,management/ highly qualified employee,1,none,yes,Bad Risk
321,<0 DM,24,existing credits paid back duly till now,radio/television,1938,<100 DM,<1 years,4,male:divorced/separated,none,3,savings agreement/life insurance,32,none,own,1,skilled employee / official,1,none,yes,Bad Risk
322,<0 DM,24,existing credits paid back duly till now,car (used),2910,<100 DM,4<= <7 years,2,male:single,none,1,unknown / no property,34,none,for free,1,management/ highly qualified employee,1,yes,yes,Good Risk
323,<0 DM,18,existing credits paid back duly till now,furniture/equipment,2659,>= 1000 DM,1<= < 4 years,4,male:single,none,2,car or other,28,none,own,1,skilled employee / official,1,none,yes,Good Risk
324,no checking account,18,critical account,car (new),1028,<100 DM,1<= < 4 years,4,female:divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee / official,1,none,yes,Good Risk
325,<0 DM,8,critical account,car (new),3398,<100 DM,4<= <7 years,1,male:single,none,4,real estate,39,none,own,2,unskilled - resident,1,none,no,Good Risk
326,no checking account,12,critical account,furniture/equipment,5801,no savings account,>=7 years,2,male:single,none,4,savings agreement/life insurance,49,none,rent,1,skilled employee / official,1,yes,yes,Good Risk
327,no checking account,24,existing credits paid back duly till now,car (new),1525,>= 1000 DM,4<= <7 years,4,female:divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee / official,2,yes,yes,Good Risk
328,>= 200 DM ,36,existing credits paid back duly till now,radio/television,4473,<100 DM,>=7 years,4,male:single,none,2,car or other,31,none,own,1,skilled employee / official,1,none,yes,Good Risk
329,0 <= <200 DM,6,existing credits paid back duly till now,radio/television,1068,<100 DM,>=7 years,4,male:single,none,4,car or other,28,none,own,1,skilled employee / official,2,none,yes,Good Risk
330,<0 DM,24,critical account,car (used),6615,<100 DM,unemployed,2,male:single,none,4,unknown / no property,75,none,for free,2,management/ highly qualified employee,1,yes,yes,Good Risk
331,no checking account,18,critical account,education,1864,100 <= <500 DM,1<= < 4 years,4,female:divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee / official,1,none,yes,Bad Risk
332,0 <= <200 DM,60,existing credits paid back duly till now,car (new),7408,100 <= <500 DM,<1 years,4,female:divorced/separated/married,none,2,savings agreement/life insurance,24,none,own,1,management/ highly qualified employee,1,none,yes,Bad Risk
333,no checking account,48,critical account,car (used),11590,100 <= <500 DM,1<= < 4 years,2,female:divorced/separated/married,none,4,car or other,24,bank,rent,2,unskilled - resident,1,none,yes,Bad Risk
334,<0 DM,24,no credits taken,furniture/equipment,4110,<100 DM,>=7 years,3,male:single,none,4,unknown / no property,23,bank,rent,2,skilled employee / official,2,none,yes,Bad Risk
335,<0 DM,6,critical account,furniture/equipment,3384,<100 DM,1<= < 4 years,1,male:divorced/separated,none,4,real estate,44,none,rent,1,management/ highly qualified employee,1,yes,yes,Bad Risk
336,0 <= <200 DM,13,existing credits paid back duly till now,radio/television,2101,<100 DM,<1 years,2,female:divorced/separated/married,guarantor,4,savings agreement/life insurance,23,none,own,1,unskilled - resident,1,none,yes,Good Risk
337,<0 DM,15,existing credits paid back duly till now,domestic appliances,1275,no savings account,1<= < 4 years,4,female:divorced/separated/married,none,2,car or other,24,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
338,<0 DM,24,existing credits paid back duly till now,furniture/equipment,4169,<100 DM,1<= < 4 years,4,male:single,none,4,savings agreement/life insurance,28,none,own,1,skilled employee / official,1,none,yes,Good Risk
339,0 <= <200 DM,10,existing credits paid back duly till now,furniture/equipment,1521,<100 DM,1<= < 4 years,4,male:divorced/separated,none,2,car or other,31,none,own,1,unskilled - resident,1,none,yes,Good Risk
340,0 <= <200 DM,24,critical account,education,5743,<100 DM,<1 years,2,female:divorced/separated/married,none,4,unknown / no property,24,none,for free,2,skilled employee / official,1,yes,yes,Good Risk
341,<0 DM,21,existing credits paid back duly till now,furniture/equipment,3599,<100 DM,4<= <7 years,1,female:divorced/separated/married,none,4,car or other,26,none,rent,1,unskilled - resident,1,none,yes,Good Risk
342,0 <= <200 DM,18,existing credits paid back duly till now,radio/television,3213,500 <= < 1000 DM,<1 years,1,male:married/widowed,none,3,real estate,25,none,rent,1,skilled employee / official,1,none,yes,Good Risk
343,0 <= <200 DM,18,existing credits paid back duly till now,business,4439,<100 DM,>=7 years,1,male:single,co-applicant,1,real estate,33,bank,own,1,management/ highly qualified employee,1,yes,yes,Good Risk
344,>= 200 DM ,10,existing credits paid back duly till now,car (new),3949,<100 DM,<1 years,1,male:single,guarantor,1,savings agreement/life insurance,37,none,own,1,unskilled - resident,2,none,yes,Good Risk
345,no checking account,15,critical account,radio/television,1459,<100 DM,1<= < 4 years,4,female:divorced/separated/married,none,2,car or other,43,none,own,1,unskilled - resident,1,none,yes,Good Risk
346,0 <= <200 DM,13,critical account,radio/television,882,<100 DM,<1 years,4,male:single,guarantor,4,real estate,23,none,own,2,skilled employee / official,1,none,yes,Good Risk
347,0 <= <200 DM,24,existing credits paid back duly till now,radio/television,3758,500 <= < 1000 DM,unemployed,1,female:divorced/separated/married,none,4,unknown / no property,23,none,rent,1,unemployed/ unskilled  - non-resident,1,none,yes,Good Risk
348,no checking account,6,delay in paying off,business,1743,100 <= <500 DM,1<= < 4 years,1,male:single,none,2,real estate,34,none,own,2,unskilled - resident,1,none,yes,Good Risk
349,0 <= <200 DM,9,critical account,education,1136,>= 1000 DM,>=7 years,4,male:single,none,3,unknown / no property,32,none,for free,2,skilled employee / official,2,none,yes,Bad Risk
350,no checking account,9,existing credits paid back duly till now,domestic appliances,1236,<100 DM,<1 years,1,female:divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,yes,yes,Good Risk
351,0 <= <200 DM,9,existing credits paid back duly till now,furniture/equipment,959,<100 DM,1<= < 4 years,1,female:divorced/separated/married,none,2,car or other,29,none,own,1,skilled employee / official,1,none,no,Bad Risk
352,no checking account,18,critical account,car (used),3229,no savings account,unemployed,2,male:single,none,4,unknown / no property,38,none,own,1,management/ highly qualified employee,1,yes,yes,Good Risk
353,<0 DM,12,no credits taken,radio/television,6199,<100 DM,1<= < 4 years,4,male:single,none,2,savings agreement/life insurance,28,none,rent,2,skilled employee / official,1,yes,yes,Bad Risk
354,no checking account,10,existing credits paid back duly till now,education,727,500 <= < 1000 DM,>=7 years,4,male:single,none,4,unknown / no property,46,none,for free,1,skilled employee / official,1,yes,yes,Good Risk
355,0 <= <200 DM,24,existing credits paid back duly till now,car (new),1246,<100 DM,<1 years,4,male:single,none,2,real estate,23,store,own,1,unskilled - resident,1,none,yes,Bad Risk
356,no checking account,12,critical account,radio/television,2331,no savings account,>=7 years,1,male:single,co-applicant,4,real estate,49,none,own,1,skilled employee / official,1,yes,yes,Good Risk
357,no checking account,36,delay in paying off,radio/television,4463,<100 DM,1<= < 4 years,4,male:single,none,2,car or other,26,none,own,2,management/ highly qualified employee,1,yes,yes,Bad Risk
358,no checking account,12,existing credits paid back duly till now,radio/television,776,<100 DM,1<= < 4 years,4,male:married/widowed,none,2,real estate,28,none,own,1,skilled employee / official,1,none,yes,Good Risk
359,<0 DM,30,existing credits paid back duly till now,furniture/equipment,2406,<100 DM,4<= <7 years,4,female:divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
360,0 <= <200 DM,18,existing credits paid back duly till now,education,1239,no savings account,1<= < 4 years,4,male:single,none,4,unknown / no property,61,none,for free,1,skilled employee / official,1,none,yes,Good Risk
361,>= 200 DM ,12,existing credits paid back duly till now,radio/television,3399,no savings account,>=7 years,2,male:single,none,3,car or other,37,none,own,1,management/ highly qualified employee,1,none,yes,Good Risk
362,>= 200 DM ,12,delay in paying off,car (new),2247,<100 DM,1<= < 4 years,2,female:divorced/separated/married,none,2,car or other,36,store,own,2,skilled employee / official,1,yes,yes,Good Risk
363,no checking account,6,existing credits paid back duly till now,furniture/equipment,1766,<100 DM,1<= < 4 years,1,male:married/widowed,none,2,savings agreement/life insurance,21,none,rent,1,skilled employee / official,1,none,yes,Good Risk
364,<0 DM,18,existing credits paid back duly till now,furniture/equipment,2473,<100 DM,unemployed,4,male:single,none,1,car or other,25,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes,Bad Risk
365,no checking account,12,existing credits paid back duly till now,business,1542,<100 DM,4<= <7 years,2,male:single,none,4,car or other,36,none,own,1,skilled employee / official,1,yes,yes,Good Risk
366,no checking account,18,critical account,car (used),3850,<100 DM,4<= <7 years,3,male:single,none,1,car or other,27,none,own,2,skilled employee / official,1,none,yes,Good Risk
367,<0 DM,18,existing credits paid back duly till now,furniture/equipment,3650,<100 DM,<1 years,1,female:divorced/separated/married,none,4,car or other,22,none,rent,1,skilled employee / official,1,none,yes,Good Risk
368,<0 DM,36,existing credits paid back duly till now,furniture/equipment,3446,<100 DM,>=7 years,4,male:single,none,2,car or other,42,none,own,1,skilled employee / official,2,none,yes,Bad Risk
369,0 <= <200 DM,18,existing credits paid back duly till now,furniture/equipment,3001,<100 DM,4<= <7 years,2,female:divorced/separated/married,none,4,real estate,40,none,rent,1,skilled employee / official,1,none,yes,Good Risk
370,no checking account,36,existing credits paid back duly till now,car (new),3079,no savings account,1<= < 4 years,4,male:single,none,4,real estate,36,none,own,1,skilled employee / official,1,none,yes,Good Risk
371,no checking account,18,critical account,radio/television,6070,<100 DM,>=7 years,3,male:single,none,4,car or other,33,none,own,2,skilled employee / official,1,yes,yes,Good Risk
372,no checking account,10,critical account,furniture/equipment,2146,<100 DM,<1 years,1,female:divorced/separated/married,none,3,real estate,23,none,rent,2,skilled employee / official,1,none,yes,Good Risk
373,no checking account,60,critical account,car (new),13756,no savings account,>=7 years,2,male:single,none,4,unknown / no property,63,bank,for free,1,management/ highly qualified employee,1,yes,yes,Good Risk
374,0 <= <200 DM,60,all credits at this bank paid back duly,others,14782,100 <= <500 DM,>=7 years,3,female:divorced/separated/married,none,4,unknown / no property,60,bank,for free,2,management/ highly qualified employee,1,yes,yes,Bad Risk
375,<0 DM,48,all credits at this bank paid back duly,business,7685,<100 DM,4<= <7 years,2,female:divorced/separated/married,guarantor,4,car or other,37,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
376,no checking account,18,delay in paying off,radio/television,2320,<100 DM,unemployed,2,male:married/widowed,none,3,real estate,34,none,own,2,skilled employee / official,1,none,yes,Good Risk
377,no checking account,7,delay in paying off,radio/television,846,no savings account,>=7 years,3,male:single,none,4,unknown / no property,36,none,for free,1,skilled employee / official,1,none,yes,Good Risk
378,0 <= <200 DM,36,existing credits paid back duly till now,car (new),14318,<100 DM,>=7 years,4,male:single,none,2,unknown / no property,57,none,for free,1,management/ highly qualified employee,1,yes,yes,Bad Risk
379,no checking account,6,critical account,car (new),362,100 <= <500 DM,1<= < 4 years,4,female:divorced/separated/married,none,4,car or other,52,none,own,2,unskilled - resident,1,none,yes,Good Risk
